Location,Age Adjusted Rate,Number of Deaths
Alabama,16.2,756
Alaska,16.8,128
Arizona,20.3,1382
Arkansas,14,401
California,11.2,4654
Colorado,16.6,942
Connecticut,27.4,971
Delaware,30.8,282
Florida,23.7,4728
Georgia,13.3,1394
Hawaii,12.8,191
Idaho,15.2,243
Illinois,18.9,2411
Indiana,24,1526
Iowa,10.6,314
Kansas,11.1,313
Kentucky,33.5,1419
Louisiana,21.8,996
Maine,28.7,353
Maryland,33.2,2044
Massachusetts,33,2227
Michigan,24.4,2347
Minnesota,12.5,672
Mississippi,12.1,352
Missouri,23.6,1371
Montana,11.7,119
Nebraska,6.4,120
Nevada,21.7,665
New Hampshire,39,481
New Jersey,23.2,2056
New Mexico,25.2,500
New York,18,3638
North Carolina,19.7,1956
North Dakota,10.6,77
Ohio,39.1,4329
Oklahoma,21.5,813
Oregon,11.9,506
Pennsylvania,37.9,4627
Rhode Island,30.8,326
South Carolina,18.1,879
South Dakota,8.4,69
Tennessee,24.5,1630
Texas,10.1,2831
Utah,22.4,635
Vermont,22.2,125
Virginia,16.7,1405
Washington,14.5,1102
West Virginia,52,884
Wisconson,19.3,1074
Wyoming,17.6,99